iter	RMSE
0	6.388204696
1	5.87988526
2	5.393115091
3	4.957970782
4	4.564366978
5	4.210571759
6	3.898463938
7	3.614548101
8	3.342684155
9	3.086792415
10	2.849143415
11	2.644411787
12	2.470648218
13	2.301646107
14	2.150784858
15	2.020671918
16	1.916889308
17	1.806245228
18	1.7114547
19	1.627780391
20	1.553426349
21	1.489915821
22	1.436418479
23	1.392912209
24	1.343427325
25	1.301428076
26	1.262005735
27	1.232619752
28	1.202086922
29	1.172640052
30	1.145297084
31	1.12736762
32	1.112234125
33	1.097912037
34	1.080275315
35	1.066050176
36	1.055041918
37	1.039583722
38	1.028758865
39	1.017141369
40	1.006496843
41	0.9969187212
42	0.988948524
43	0.9828605739
44	0.975247029
45	0.9685562864
46	0.9632973921
47	0.9574304089
48	0.9519359427
49	0.9477409175
50	0.9419851358
51	0.9371117766
52	0.9331676833
53	0.9283590856
54	0.9242152183
55	0.9172185228
56	0.9130578639
57	0.9083575268
58	0.9054055161
59	0.9018782843
60	0.8994757402
61	0.8960495578
62	0.8915462895
63	0.88767799
64	0.8847762447
65	0.882974607
66	0.8794613815
67	0.8770756655
68	0.8749886451
69	0.8720376537
70	0.8687930134
71	0.8668467919
72	0.8650878742
73	0.8619022131
74	0.8592093347
75	0.8572531022
76	0.8551946268
77	0.8529204066
78	0.8504423762
79	0.8474629768
80	0.8453108156
81	0.8434068716
82	0.8412278202
83	0.8395706005
84	0.837373407
85	0.8356617465
86	0.8345639358
87	0.8319179311
88	0.8297941236
89	0.8276773424
90	0.8269780265
91	0.8256959789
92	0.8240641637
93	0.8222116963
94	0.8210972646
95	0.819879545
96	0.8183643573
97	0.8158960866
98	0.814455716
99	0.8118799587
100	0.8102181521
101	0.8091363552
102	0.8083526828
103	0.8064786515
104	0.8053276783
105	0.8039663096
106	0.8018254035
107	0.8008115123
108	0.7998709776
109	0.7985938649
110	0.7963161333
111	0.7946220237
112	0.7932119661
113	0.7912807285
114	0.7901397043
115	0.7892640923
116	0.7876446163
117	0.7858619082
118	0.7849815417
119	0.78421736
120	0.7832737236
121	0.7826253875
122	0.7810526023
123	0.7800430791
124	0.7785404822
125	0.7771578762
126	0.7762458
127	0.7754843112
128	0.7747988566
129	0.7739579888
130	0.7733329218
131	0.7716023945
132	0.7708704461
133	0.7698415957
