iter	Passed	Remaining
0	56	56332
1	60	29952
2	63	21006
3	66	16543
4	69	13913
5	73	12151
6	76	10836
7	79	9830
8	82	9072
9	85	8433
10	88	7937
11	91	7502
12	94	7144
13	96	6820
14	99	6563
15	102	6318
16	105	6122
17	108	5934
18	111	5775
19	114	5626
20	117	5484
21	120	5366
22	123	5259
23	126	5155
24	129	5052
25	132	4964
26	135	4870
27	138	4794
28	140	4718
29	143	4650
30	146	4591
31	149	4528
32	152	4473
33	155	4420
34	158	4374
35	161	4324
36	164	4287
37	167	4238
38	170	4201
39	173	4167
40	176	4135
41	179	4097
42	182	4064
43	185	4033
44	189	4012
45	192	3986
46	195	3968
47	198	3939
48	201	3918
49	204	3887
50	207	3865
51	210	3839
52	213	3815
53	216	3789
54	219	3765
55	224	3777
56	227	3757
57	230	3736
58	233	3717
59	235	3697
60	239	3684
61	242	3667
62	245	3647
63	248	3629
64	251	3611
65	254	3595
66	256	3575
67	259	3561
68	262	3542
69	265	3526
70	268	3511
71	271	3498
72	274	3483
73	277	3470
74	280	3457
75	283	3441
76	286	3429
77	288	3416
78	292	3404
79	294	3390
80	297	3377
81	307	3441
82	313	3458
83	318	3469
84	321	3456
85	324	3443
86	327	3433
87	331	3431
88	334	3426
89	337	3416
90	340	3405
91	344	3396
92	347	3384
93	350	3373
94	352	3361
95	355	3352
96	358	3340
97	362	3332
98	364	3319
99	368	3312
100	370	3300
101	373	3291
102	376	3281
103	379	3273
104	382	3264
105	385	3253
106	388	3244
107	391	3234
108	394	3226
109	397	3215
110	400	3206
111	403	3196
112	406	3188
113	408	3177
114	411	3168
115	414	3159
116	417	3151
117	420	3143
118	423	3135
119	426	3129
120	429	3120
121	432	3113
122	435	3104
123	438	3097
124	441	3088
125	444	3082
126	447	3074
127	450	3069
128	453	3060
129	456	3053
130	459	3047
131	462	3038
132	465	3032
133	468	3025
134	471	3020
135	474	3011
136	477	3005
137	479	2996
138	482	2991
139	485	2983
140	488	2977
141	491	2970
142	494	2964
143	497	2958
144	500	2952
145	503	2945
146	506	2938
147	509	2932
148	512	2925
149	515	2920
150	518	2913
151	521	2907
152	524	2901
153	527	2895
154	530	2889
155	533	2885
156	536	2878
157	538	2872
158	541	2866
159	544	2859
160	547	2854
161	550	2847
162	553	2841
163	556	2834
164	559	2830
165	561	2822
166	564	2817
167	567	2811
168	570	2806
169	573	2801
170	576	2796
171	579	2790
172	582	2783
173	585	2779
174	588	2774
175	591	2770
176	594	2764
177	597	2758
178	600	2753
179	603	2748
180	606	2743
181	609	2739
182	612	2734
183	615	2728
184	618	2724
185	621	2719
186	624	2714
187	627	2708
188	629	2703
189	632	2697
190	635	2693
191	638	2688
192	641	2682
193	644	2678
194	647	2674
195	650	2670
196	654	2666
197	657	2663
198	660	2659
199	663	2654
200	666	2649
201	669	2645
202	672	2640
203	675	2636
204	678	2631
205	681	2626
206	684	2620
207	687	2616
208	689	2610
209	692	2606
210	696	2602
211	699	2598
212	702	2595
213	705	2591
214	708	2586
215	712	2584
216	714	2579
217	718	2576
218	721	2571
219	724	2567
220	727	2562
221	729	2558
222	733	2554
223	736	2549
224	739	2546
225	741	2540
226	744	2535
227	747	2530
228	750	2526
229	752	2520
230	755	2516
231	758	2512
232	761	2507
233	764	2503
234	767	2498
235	770	2494
236	773	2489
237	776	2487
238	779	2482
239	782	2478
240	785	2473
241	788	2470
242	791	2465
243	794	2460
244	797	2457
245	800	2453
246	803	2449
247	806	2445
248	809	2442
249	812	2437
250	815	2433
251	818	2428
252	821	2425
253	824	2420
254	827	2417
255	830	2412
256	833	2409
257	836	2405
258	838	2400
259	841	2396
260	844	2391
261	847	2388
262	850	2383
263	853	2379
264	856	2375
265	859	2371
266	862	2367
267	865	2363
268	868	2359
269	871	2355
270	874	2351
271	877	2347
272	880	2343
273	882	2339
274	886	2335
275	888	2331
276	892	2328
277	894	2323
278	898	2320
279	900	2316
280	903	2312
281	906	2308
282	909	2304
283	912	2301
284	915	2297
285	918	2293
286	921	2290
287	925	2286
288	927	2282
289	930	2278
290	933	2274
291	936	2270
292	939	2267
293	942	2263
294	945	2259
295	948	2255
296	951	2251
297	953	2247
298	957	2244
299	959	2239
300	963	2236
301	965	2232
302	968	2228
303	971	2224
304	974	2221
305	977	2217
306	980	2213
307	983	2209
308	986	2206
309	989	2202
310	992	2199
311	995	2195
312	998	2191
313	1002	2189
314	1005	2186
315	1008	2183
316	1011	2178
317	1014	2175
318	1016	2170
319	1019	2167
320	1022	2163
321	1025	2159
322	1028	2155
323	1031	2152
324	1034	2148
325	1037	2145
326	1041	2142
327	1044	2139
328	1047	2135
329	1050	2132
330	1053	2129
331	1056	2125
332	1059	2121
333	1062	2118
334	1065	2114
335	1068	2110
336	1071	2107
337	1073	2103
338	1077	2100
339	1079	2096
340	1082	2092
341	1086	2089
342	1088	2085
343	1092	2082
344	1095	2079
345	1098	2075
346	1101	2072
347	1104	2068
348	1107	2065
349	1110	2062
350	1113	2058
351	1116	2056
352	1120	2053
353	1123	2050
354	1126	2046
355	1131	2046
356	1134	2043
357	1137	2039
358	1140	2036
359	1143	2032
360	1145	2028
361	1148	2024
362	1151	2021
363	1154	2017
364	1158	2014
365	1161	2011
366	1163	2007
367	1167	2004
368	1170	2001
369	1173	1997
370	1175	1993
371	1178	1990
372	1181	1986
373	1184	1983
374	1187	1979
375	1191	1976
376	1193	1972
377	1196	1969
378	1199	1965
379	1202	1962
380	1205	1958
381	1208	1955
382	1211	1952
383	1214	1948
384	1217	1945
385	1220	1941
386	1223	1938
387	1226	1934
388	1229	1930
389	1232	1927
390	1235	1923
391	1237	1919
392	1240	1916
393	1243	1913
394	1246	1909
395	1250	1906
396	1252	1903
397	1255	1899
